sym_i,anchor,minute,raw_score,cal_score,rv30,comb,side,fired,symbol
5.0,1788440400000.0,60.0,0.49880838904577945,0.4911013081837542,12.388803142813634,0.6885686728395062,-1.0,0.0,DOTUSDT
6.0,1788440400000.0,60.0,0.49880838904577945,0.4911013081837542,8.540325536708725,0.6009413580246914,-1.0,0.0,ETHUSDT
7.0,1788440400000.0,60.0,0.49880838904577945,0.4911013081837542,11.909274031054533,0.681412037037037,-1.0,0.0,LINKUSDT
8.0,1788440400000.0,60.0,0.49880838904577945,0.4911013081837542,11.27998090747471,0.6704745370370371,-1.0,0.0,SOLUSDT
9.0,1788440400000.0,60.0,0.49880838904577945,0.4911013081837542,13.29371073696612,0.7004822530864198,-1.0,0.0,XRPUSDT
0.0,1788440400000.0,120.0,0.5016148382011603,0.5000621195179525,15.877205167075271,0.8218364197530864,1.0,0.0,ADAUSDT
1.0,1788440400000.0,120.0,0.5016148382011603,0.5000621195179525,11.707088708187534,0.7774266975308641,1.0,0.0,AVAXUSDT
2.0,1788440400000.0,120.0,0.5016148382011603,0.5000621195179525,8.365270842859697,0.6946103395061729,1.0,0.0,BNBUSDT
3.0,1788440400000.0,120.0,0.5016148382011603,0.5000621195179525,11.366406769671965,0.771832561728395,1.0,0.0,BTCUSDT
4.0,1788440400000.0,120.0,0.5016148382011603,0.5000621195179525,24.137608289784602,0.8438117283950617,1.0,0.0,DOGEUSDT
5.0,1788440400000.0,120.0,0.5016148382011603,0.5000621195179525,13.338146663814998,0.8006172839506173,1.0,0.0,DOTUSDT
6.0,1788440400000.0,120.0,0.5016148382011603,0.5000621195179525,15.671869098842132,0.8206172839506173,1.0,0.0,ETHUSDT
7.0,1788440400000.0,120.0,0.5016148382011603,0.5000621195179525,19.775337928842696,0.8371450617283951,1.0,0.0,LINKUSDT
8.0,1788440400000.0,120.0,0.5016148382011603,0.5000621195179525,19.320879926280533,0.8359529320987654,1.0,0.0,SOLUSDT
9.0,1788440400000.0,120.0,0.5016148382011603,0.5000621195179525,23.92150002286471,0.8436419753086419,1.0,0.0,XRPUSDT
0.0,1788440400000.0,240.0,0.5012134345565832,0.5250395361096468,14.723117702829027,0.7384413580246914,1.0,0.0,ADAUSDT
1.0,1788440400000.0,240.0,0.5012134345565832,0.5250395361096468,10.028290612287428,0.6665432098765433,1.0,0.0,AVAXUSDT
2.0,1788440400000.0,240.0,0.5012134345565832,0.5250395361096468,4.5261901015170505,0.42988811728395065,1.0,0.0,BNBUSDT
3.0,1788440400000.0,240.0,0.5012134345565832,0.5250395361096468,4.5942194512330214,0.43459490740740747,1.0,0.0,BTCUSDT
4.0,1788440400000.0,240.0,0.5012134345565832,0.5250395361096468,18.51670276660266,0.7582291666666667,1.0,0.0,DOGEUSDT
5.0,1788440400000.0,240.0,0.5012134345565832,0.5250395361096468,7.13745937894499,0.572920524691358,1.0,0.0,DOTUSDT
6.0,1788440400000.0,240.0,0.5012134345565832,0.5250395361096468,5.409327792648916,0.48584876543209876,1.0,0.0,ETHUSDT
7.0,1788440400000.0,240.0,0.5012134345565832,0.5250395361096468,7.17016586092074,0.5743672839506173,1.0,0.0,LINKUSDT
8.0,1788440400000.0,240.0,0.5012134345565832,0.5250395361096468,6.706581489670707,0.5542206790123457,1.0,0.0,SOLUSDT
9.0,1788440400000.0,240.0,0.5012134345565832,0.5250395361096468,11.719879514629541,0.7021257716049383,1.0,0.0,XRPUSDT
0.0,1788440400000.0,480.0,0.4995449746082872,0.4881711365193108,10.941019051990953,0.4944483024691358,-1.0,0.0,ADAUSDT
1.0,1788440400000.0,480.0,0.4995449746082872,0.4881711365193108,4.553351369607276,0.23846064814814813,-1.0,0.0,AVAXUSDT
2.0,1788440400000.0,480.0,0.4995449746082872,0.4881711365193108,4.6144923021460045,0.24248842592592593,-1.0,0.0,BNBUSDT
3.0,1788440400000.0,480.0,0.4995449746082872,0.4881711365193108,4.641723840868059,0.24433256172839504,-1.0,0.0,BTCUSDT
4.0,1788440400000.0,480.0,0.4995449746082872,0.4881711365193108,6.905136153853186,0.3698611111111111,-1.0,0.0,DOGEUSDT
5.0,1788440400000.0,480.0,0.4995449746082872,0.4881711365193108,6.0214173619590055,0.3266975308641975,-1.0,0.0,DOTUSDT
6.0,1788440400000.0,480.0,0.4995449746082872,0.4881711365193108,4.429791107493127,0.23040123456790124,-1.0,0.0,ETHUSDT
7.0,1788440400000.0,480.0,0.4995449746082872,0.4881711365193108,6.935919466341342,0.3712152777777778,-1.0,0.0,LINKUSDT
8.0,1788440400000.0,480.0,0.4995449746082872,0.4881711365193108,5.348871042427327,0.28907407407407404,-1.0,0.0,SOLUSDT
9.0,1788440400000.0,480.0,0.4995449746082872,0.4881711365193108,9.058491667985049,0.44735725308641977,-1.0,0.0,XRPUSDT
0.0,1788444000000.0,10.0,0.49831950952759685,0.4724039247751431,10.217503967296677,0.749795524691358,-1.0,0.0,ADAUSDT
1.0,1788444000000.0,10.0,0.49831950952759685,0.4724039247751431,7.17710319573877,0.653329475308642,-1.0,0.0,AVAXUSDT
2.0,1788444000000.0,10.0,0.49831950952759685,0.4724039247751431,6.153923680764698,0.6056018518518518,-1.0,0.0,BNBUSDT
3.0,1788444000000.0,10.0,0.49831950952759685,0.4724039247751431,7.233288066782226,0.655420524691358,-1.0,0.0,BTCUSDT
4.0,1788444000000.0,10.0,0.49831950952759685,0.4724039247751431,8.715965133014215,0.7091550925925927,-1.0,0.0,DOGEUSDT
5.0,1788444000000.0,10.0,0.49831950952759685,0.4724039247751431,9.826663816960888,0.7402083333333334,-1.0,0.0,DOTUSDT
6.0,1788444000000.0,10.0,0.49831950952759685,0.4724039247751431,7.387393691945655,0.6616820987654322,-1.0,0.0,ETHUSDT
7.0,1788444000000.0,10.0,0.49831950952759685,0.4724039247751431,9.854147665437266,0.7409336419753086,-1.0,0.0,LINKUSDT
8.0,1788444000000.0,10.0,0.49831950952759685,0.4724039247751431,9.660420191359885,0.736045524691358,-1.0,0.0,SOLUSDT
9.0,1788444000000.0,10.0,0.49831950952759685,0.4724039247751431,12.484128226928002,0.7926234567901235,-1.0,0.0,XRPUSDT
0.0,1788444000000.0,30.0,0.49889963715523294,0.46971854123316176,14.426790880709987,0.6539236111111111,-1.0,0.0,ADAUSDT
1.0,1788444000000.0,30.0,0.49889963715523294,0.46971854123316176,9.0087369639265,0.5571643518518519,-1.0,0.0,AVAXUSDT
2.0,1788444000000.0,30.0,0.49889963715523294,0.46971854123316176,6.29231116827263,0.45209104938271605,-1.0,0.0,BNBUSDT
3.0,1788444000000.0,30.0,0.49889963715523294,0.46971854123316176,8.183757185214075,0.5309529320987655,-1.0,0.0,BTCUSDT
4.0,1788444000000.0,30.0,0.49889963715523294,0.46971854123316176,13.357894936498854,0.6432523148148148,-1.0,0.0,DOGEUSDT
5.0,1788444000000.0,30.0,0.49889963715523294,0.46971854123316176,8.71630095484692,0.5485918209876544,-1.0,0.0,DOTUSDT
6.0,1788444000000.0,30.0,0.49889963715523294,0.46971854123316176,8.360271977345809,0.5369444444444444,-1.0,0.0,ETHUSDT
